tactic,attack_tactic_id,sim_phase,disposition,ckc_phase,coverage,reason
reconnaissance,TA0043,SCAN_HOST,mapped,reconnaissance,direct,CKC Reconnaissance -> host-discovery verb (Brown Fig-3 'host discovery')
resource-development,TA0042,ENUM_HOST,mapped,weaponization,direct,CKC Weaponization -> target/attack-preparation verb (host selection / pivot)
initial-access,TA0001,SCAN_PORT,mapped,delivery,direct,CKC Delivery -> port-scan + credential-stuffing access verb (Brown 'host reconnaissance')
execution,TA0002,EXPLOIT_VULN,mapped,exploitation,direct,CKC Exploitation -> the exploit verb
privilege-escalation,TA0004,EXPLOIT_VULN,mapped,exploitation,direct,CKC Exploitation -> the exploit verb (doubled onto exploitation)
stealth,TA0005,EXPLOIT_VULN,mapped,exploitation,direct,defense-evasion under CKC Exploitation -> the exploit verb (doubled)
defense-impairment,TA0112,EXPLOIT_VULN,mapped,exploitation,direct,defense-impairment under CKC Exploitation -> the exploit verb (doubled)
persistence,TA0003,BRUTE_FORCE,mapped,installation,direct,CKC Installation -> the credential-foothold verb
command-and-control,TA0011,SCAN_NEIGHBOR,mapped,command-and-control,direct,CKC Command & Control -> the neighbour-reveal verb (Brown 'C2 reveals connected hosts')
credential-access,TA0006,SCAN_NEIGHBOR,mapped,actions-on-objectives,fallback,AoO has no MTDSim verb -> nearest covered CKC phase (C2) doubled
discovery,TA0007,SCAN_NEIGHBOR,mapped,actions-on-objectives,fallback,AoO has no MTDSim verb -> nearest covered CKC phase (C2) doubled
lateral-movement,TA0008,SCAN_NEIGHBOR,mapped,actions-on-objectives,fallback,AoO has no MTDSim verb -> nearest covered CKC phase (C2) doubled
collection,TA0009,SCAN_NEIGHBOR,mapped,actions-on-objectives,fallback,AoO has no MTDSim verb -> nearest covered CKC phase (C2) doubled
exfiltration,TA0010,SCAN_NEIGHBOR,mapped,actions-on-objectives,fallback,AoO has no MTDSim verb -> nearest covered CKC phase (C2) doubled
impact,TA0040,SCAN_NEIGHBOR,mapped,actions-on-objectives,fallback,AoO has no MTDSim verb -> nearest covered CKC phase (C2) doubled
