tactic,attack_tactic_id,group,dwell_s,bound_action,mttc_counted,realisation_condition,capability_precondition_C2,capability_effect_C2,reset_verdict,mtd_interruption_disposition,backward_transition_reading,cost_only_R5,objective_for_classes,R2_R3_twoway_hook,rationale
reconnaissance,TA0043,scan-shaped,35.0,SCAN_HOST+SCAN_PORT,yes,action completion (enumeration pass runs),none (external) or foothold (internal),map-knowledge (host_stack),vulnerable,inherit: network-mutation throws to host-discovery (map lost),cost-only re-scan (re-emit scan verbs + dwell),no,none,R2 scales scan success; R3 sets recon endowment,Substrate prices recon directly as scan verbs; SCAN_PORT populates MTTC. Map is reset-vulnerable (a shuffle erases it) per primer (e).
resource-development,TA0042,prep-off-network,0.0,COST_ONLY (off-clock sidecar record),no,dwell elapses (0 s transit),none,tooling capability (declared; off-sim),n/a,none (off-clock),cost-only transit,yes,none,R3 style may endow tooling,Off-clock: adversary arrives equipped; real prep precedes the sim clock. R5: no MTD touches it. Zero-dwell place-union transit only.
initial-access,TA0001,exploit-shaped,4.5,EXPLOIT_VULN (exposed endpoint),yes,substrate exploit lands (random<complexity),reachable exposed service,foothold (compromised_hosts+=entry),vulnerable (attempt) / survivor (foothold once gained),inherit: application-mutation re-enumerates working set; foothold survives,cost-only re-attempt of entry exploit,no,none,R2 tunes entry success by style,Server-side entry is what complexity-scaled exploit_time prices; EXPLOIT_VULN populates MTTC. Exposed endpoints are never mutated (primer c).
execution,TA0002,stealth-low-and-slow,22.5,COST_ONLY (sidecar) [membership unsettled],no,dwell elapses (payload on owned host; no substrate state),foothold,none (declared: payload run),survivor (act on owned host),inherit (penalty only; nothing to reset),cost-only re-run,partial,none,R2 directive names execution success as the APT knob (hook only),No substrate verb prices 'run a payload'; group membership genuinely unsettled (catalogue). Cost-only dwell at MVP; the R2 execution-success hook attaches here later.
persistence,TA0003,stealth-low-and-slow,45.0,COST_ONLY (sidecar),no,dwell elapses,foothold,persistence-hold (declared),survivor (rate contest — FlipIt),inherit; C2 may grant declared survival bonus (not a substrate change),cost-only re-establish,yes,none,R3 style bundles persistence tempo,No verb prices 'maintain a foothold'. R5: survives via rate contest not a metered act. C2 survival bonus is a declared attacker-side parameter, not a substrate edit.
privilege-escalation,TA0004,exploit-shaped,4.5,EXPLOIT_VULN (local),yes,substrate exploit lands,foothold,elevated capability on host,vulnerable (attempt) / survivor (elevation),inherit: application-mutation re-enumerates,cost-only re-attempt,no,none,R2 tunes priv-esc success,Canonical instance is vuln exploitation the substrate prices via exploit_time; EXPLOIT_VULN populates MTTC.
stealth,TA0005,stealth-low-and-slow,45.0,COST_ONLY (sidecar),no,dwell elapses,none,none (tempo only),n/a,inherit (penalty only),cost-only transit,yes,none,R3 style sets pace (the cleanest style knob),Detection is culled project-wide; nothing to evade in-sim. R5: cleanest cost-only row. Value is tempo, which the dwell already carries.
defense-impairment,TA0112,stealth-low-and-slow,22.5,COST_ONLY (sidecar),no,dwell elapses,foothold,none (declared: would reduce MTD efficacy — future work),n/a,inherit (penalty only),cost-only re-attempt,yes,none,future MTD-efficacy hook (deferred),Substrate models no defensive-control state. R5: no MTD/IDS to influence at MVP; effect declared as future work only.
credential-access,TA0006,exploit-shaped,4.5,EXPLOIT_VULN or BRUTE_FORCE (dump/crack),yes,substrate exploit/brute lands,foothold,credentials — the survivor KEY (compromised_users),survivor (never revoked by shuffle; leaky rotation),inherit; the key survives all mutations (primer e),cost-only re-attempt,no,none,R2 tunes cred success; C2 load-bearing tactic,The load-bearing C2 tactic: credentials are the reset-survivor key. Dumping/cracking is on-host work the substrate prices; EXPLOIT_VULN/BRUTE_FORCE populate MTTC.
discovery,TA0007,scan-shaped,35.0,SCAN_NEIGHBOR+SCAN_PORT (interior),yes,action completion,foothold,map-knowledge (host_stack),vulnerable,inherit: network-mutation throws to host-discovery,cost-only re-scan,no,none,R3 style sets discovery breadth,Reconnaissance's interior twin — same enumeration from a foothold. SCAN_PORT populates MTTC. Reset-vulnerable map.
lateral-movement,TA0008,exploit-shaped,4.5,EXPLOIT_VULN (scan-hop) OR BRUTE_FORCE/user-reuse (cred-hop),yes,substrate exploit/reuse lands,foothold (+credentials for the survivor modality),new foothold,SPLIT: scan-hop vulnerable / cred-hop survivor,inherit; C2 picks modality by capability footprint,cost-only re-attempt,no,none,C2 per-modality split is the clearest distinguishability case,The clearest per-modality reset split (primer e): with credentials the hop survives a shuffle; without, it re-scans. C2 selects modality by footprint. Populates MTTC.
collection,TA0009,objective-execution,36.0,COST_ONLY (sidecar) + objective marker,no,dwell elapses (gather on owned host),foothold on high-value/target host,staged-data capability,survivor (data already gathered),inherit (penalty only),cost-only re-gather,partial,pre-objective for pure_steal/double_extortion,R2 tunes collection throughput,No substrate verb prices 'gather data'; a real dwell floor (throughput). Pre-objective capability feeding exfiltration. Survivor once staged.
command-and-control,TA0011,stealth-low-and-slow,45.0,COST_ONLY (sidecar) + objective marker,no,dwell elapses (beacon channel),foothold,channel capability,survivor,inherit (penalty only),cost-only re-establish,yes,OBJECTIVE for infrastructure_setup,R3 style sets beacon cadence,No verb prices a C2 channel. R5: beacon is un-priceable by CVE data (Ling & Ekstedt). Terminal objective for infrastructure_setup.
exfiltration,TA0010,objective-execution,36.0,COST_ONLY (sidecar) + objective marker,no,dwell elapses; objective realised if precondition holds,collected data + channel + foothold,OBJECTIVE ACHIEVED (data out),survivor,inherit (penalty only; may extend dwell),cost-only re-attempt,yes,OBJECTIVE for pure_steal + double_extortion,R2 tunes exfil success (held-out calibration milestone),Terminal data-theft act; no substrate verb — objective-read success. R5. Precondition chains on collection+C2. Objective for pure_steal/double_extortion.
impact,TA0040,objective-execution,36.0,COST_ONLY (sidecar) + objective marker,no,dwell elapses; objective realised if precondition holds,foothold(s),OBJECTIVE ACHIEVED (encrypt/destroy),survivor,inherit (penalty only),cost-only re-attempt,yes,OBJECTIVE for pure_impediment + double_extortion,R3 style separates ransomware-burst vs never-reached,Terminal payload (encryption/destruction); real disk-I/O floor but no substrate verb — objective-read success. R5. Objective for pure_impediment/double_extortion; absent from espionage nets.
