tactic,attack_tactic_id,action,influence,callability,context_required,native_dice,success_event,failure_event,parameterisation,kill_chain_band,profile_group,profile_ref,justification
reconnaissance,TA0043,SCAN_HOST,yes,callable-as-is,none,none (deterministic enumeration),host_stack non-empty (>=1 reachable host found),empty host_stack (nothing to discover),ATTACK_DURATION tempo (module-global only),prep-discovery,scan-shaped,01_reconnaissance.md,Opening SCAN_HOST from the ingress is recon-shaped (T1595/T1018); the substrate prices reconnaissance as an active scan verb (profile §5 ×1.0 Tier 1).
reconnaissance,TA0043,SCAN_PORT,yes,callable-with-context,curr_host,can_auto_compromise_with_users (reuse shortcut; else none),port set enumerated,interrupt / empty,ATTACK_DURATION tempo (module-global only),prep-discovery,scan-shaped,01_reconnaissance.md,SCAN_PORT is the service-enumeration pass (T1046); scan verb meters the active recon modality (profile §5).
initial-access,TA0001,EXPLOIT_VULN,yes,callable-with-context,curr_host + curr_ports,per-vuln random()<complexity; host compromised at Sum(impact)>7,EXPLOIT_COMPROMISED (foothold on exposed host),EXPLOIT_UNCOMPROMISED,ATTACKER_THRESHOLD persistence (module-global only),get-in,exploit-shaped,03_initial-access.md,Server-side entry (T1190) is exactly what complexity-scaled exploit_time prices (profile §5 ×1.0 Tier 1 not tuned); SCAN_PORT is precursor context not a mapped influence.
execution,TA0002,NONE,no-action-dwell-only,n/a,n/a,none (no verb prices running a payload),n/a (dwell elapses; base forward weight),n/a,none,dwell-only,stealth-low-and-slow,04_execution.md,No substrate verb prices 'run a payload'; EXPLOIT_VULN abstracts over execution but does not model it (profile §5 group unsettled Tier 3); R2 execution-success hook attaches here later.
resource-development,TA0042,NONE,no-action-dwell-only,n/a,n/a,none (off-clock; adversary arrives equipped),n/a (near-zero in-sim dwell),n/a,none,prep-off-network,prep-off-network,02_resource-development.md,Off-clock: real tool/infrastructure prep precedes the sim clock (profile §5 ×0 Tier 3); its only net edge is the M6 synthetic join.
persistence,TA0003,NONE,no-action-dwell-only,n/a,n/a,none (survives via rate contest not a metered act),n/a (dwell elapses),n/a,none,dwell-only,stealth-low-and-slow,05_persistence.md,No verb prices 'maintain a foothold'; survival is a FlipIt-style rate contest not a substrate act (profile §5 ×1.0 Tier 3).
privilege-escalation,TA0004,EXPLOIT_VULN,yes,callable-with-context,curr_host + curr_ports,per-vuln random()<complexity; host compromised at Sum(impact)>7,EXPLOIT_COMPROMISED (local exploit lands / elevation),EXPLOIT_UNCOMPROMISED,ATTACKER_THRESHOLD persistence (module-global only),get-in,exploit-shaped,06_privilege-escalation.md,Canonical instance is vuln exploitation the substrate prices via exploit_time (T1068; profile §5 ×1.0 Tier 1); token/valid-account variant is a within-group skew.
stealth,TA0005,NONE,no-action-dwell-only,n/a,n/a,none (detection culled; nothing to evade in-sim),n/a (dwell elapses; value is tempo),n/a,none,dwell-only,stealth-low-and-slow,07_stealth.md,Detection is culled project-wide so stealth has no substrate representation (profile §5 Tier 3); value is tempo the dwell already carries.
defense-impairment,TA0112,NONE,no-action-dwell-only,n/a,n/a,none (no defensive-control state modelled),n/a (dwell elapses),n/a,none,dwell-only,stealth-low-and-slow,08_defense-impairment.md,The substrate models no defensive-control state to disable (profile §5 widest sweep Tier 3); effect declared as future work only.
credential-access,TA0006,EXPLOIT_VULN,yes,callable-with-context,curr_host + curr_ports,per-vuln random()<complexity; host compromised at Sum(impact)>7,EXPLOIT_COMPROMISED (dump path),EXPLOIT_UNCOMPROMISED,ATTACKER_THRESHOLD persistence (module-global only),spread,exploit-shaped,09_credential-access.md,Dumping/cracking is on-host work the substrate prices (OS Credential Dumping T1003; profile §5 ×1.0 Tier 1); the survivor pole of the reset axis.
credential-access,TA0006,BRUTE_FORCE,yes,callable-with-context,curr_host,random()<HOST_MAX_PROB_FOR_USER_COMPROMISE*harvested/total,host compromised (True),not compromised (False),ATTACK_DURATION tempo (module-global only),spread,exploit-shaped,09_credential-access.md,BRUTE_FORCE is Credential Access -> Brute Force / credential stuffing (T1110.004) reusing the harvested pool (anatomy §5.1); credential survives all mutations.
discovery,TA0007,SCAN_HOST,yes,callable-as-is,none,none (deterministic enumeration),host_stack non-empty (new reachable set),empty new set,ATTACK_DURATION tempo (module-global only),spread,scan-shaped,10_discovery.md,Foothold-grown host discovery (T1018); internal enumeration priced as the substrate scan verb (profile §5 ×1.0 Tier 1).
discovery,TA0007,SCAN_PORT,yes,callable-with-context,curr_host,can_auto_compromise_with_users (reuse shortcut; else none),port set enumerated,interrupt / empty,ATTACK_DURATION tempo (module-global only),spread,scan-shaped,10_discovery.md,Interior service scan (T1046); reconnaissance's interior twin run from a foothold (profile §5).
