tactic,attack_tactic_id,sim_phase,disposition,ckc_phase,coverage,reason
reconnaissance,TA0043,SCAN_HOST,mapped,,,builds the queue of attackable hosts from everything reachable from the current foothold — the substrate's only survey act
resource-development,TA0042,,dwell-only,,,"acquires infrastructure and capability off-target, and no world outside the victim network is modelled; the synthetic overlay already treats this as a zero-dwell structural waypoint with no action. A future action would need an out-of-network capability store gating later exploit availability"
initial-access,TA0001,EXPLOIT_VULN,mapped,,,"the only verb whose deliberate effect converts a host the attacker does not own into one it does; v1's port scan could never take a foothold on its own merits, and the credential-reuse hit inside SCAN_PORT is an incidental side effect of scanning, not a modelled access technique"
execution,TA0002,EXPLOIT_VULN,mapped,,,applies a vulnerability's effect to a host's service — the substrate's only act of running something on a target
persistence,TA0003,,dwell-only,,,"a compromised host stays compromised unconditionally, so there is no access artefact to plant, lose or maintain. A future action would need revocable per-host access that an MTD mutation can strip and the attacker re-assert"
privilege-escalation,TA0004,EXPLOIT_VULN,mapped,,,"the substrate has no privilege dimension at all; the stand-in is the exploit verb's accumulation of exploited impact toward the threshold at which a host falls — escalation of control, if not of privilege"
stealth,TA0005,,dwell-only,,,"nothing observes the attacker, so there is no state evasion could alter and no verb whose effect is becoming less visible; this is the model's stealth gap (criterion axis 5) made explicit"
defense-impairment,TA0112,,dwell-only,,,"MTD scheduling is a defender-side process the attacker can neither observe nor touch, and no verb degrades a defensive component"
credential-access,TA0006,BRUTE_FORCE,mapped,,,attempts a login against the current host from the pool of compromised usernames — ATT&CK T1110 with no interpretation required
discovery,TA0007,SCAN_PORT,mapped,,,"enumerates the open ports reachable on the current host (T1046); note that the credential-reuse auto-compromise rides inside this verb, and that it populates curr_ports, which is what lets a later initial-access or execution run at all"
lateral-movement,TA0008,ENUM_HOST,mapped,,,"pops the next host, makes it current and sets the pivot — the substrate's act of moving to a remote system; paired with command-and-control's neighbour-reveal this is the native spread pair experiment 1's profiles never completed"
command-and-control,TA0011,SCAN_NEIGHBOR,mapped,,,the one row the inherited design states itself — Brown describes this verb as command and control revealing connected hosts
collection,TA0009,,dwell-only,,,"the substrate has no data — hosts carry services and vulnerabilities, nothing gatherable. A future action needs modelled data at rest"
exfiltration,TA0010,,dwell-only,,,"neither half exists: nothing to take, nowhere to send it; v1's placeholder made the terminal act indistinguishable from the spreading act"
impact,TA0040,,dwell-only,,,"no verb destroys, encrypts or denies anything, so an objective-band walk spends time at its objective instead of firing a spread verb that misrepresents what it is doing"
