flow_id,flow_name,scope,n_actions,terminal_techniques,terminal_tactics,reaches_exfiltration,reaches_impact,stated_objective,attribution,metadata_confidence,source_used,notes
black_basta_ransomware,Black Basta Ransomware,malware,38,T1016;T1070;T1082;T1087;T1555,credential-access;discovery;stealth,true,true,double_extortion,unknown,high,ctid_blurb+vendor:unit42.paloaltonetworks.com,CTID blurb + Unit42 confirm double-extortion (encrypt + threaten to leak)
cisa_aa22_138b_vmware_workspace_alt,CISA AA22-138B VMWare Workspace (Alt),incident,11,T1059;T1560,collection;execution,false,false,steal_data,unknown,high,ctid_blurb+ctid_flow_narrative+vendor:cisa.gov(AA22-138B; read by Marc 2026-08-17)+marc_ruling_2026-08-17,"Marc's ruling 2026-08-17: the flow is TA1's script analysis (shared IOCs fd86ald0.pem, 20.232.97.189, CVE-2022-22960 sudo escalation) drawn by the CTID analyst without the exfil step; TA1 is the collect-and-exfiltrate actor -> truncated exfiltration flow, not pre-payload. Was position_for_future (low). Confirmed high 2026-08-17 on Marc's read of the advisory: AA22-138B states TA1 deployed 80b6ae2cea.sh, which overwrites publishCaCert.hzn using fd86ald0.pem to enable credential theft, and identifies the script's purpose as exfiltration of sensitive system data"
cisa_aa22_138b_vmware_workspace_ta1,CISA AA22-138B VMWare Workspace (TA1),incident,10,T1041,exfiltration,true,false,steal_data,unknown,high,"ctid_blurb+ctid_flow_narrative+vendor:cisa.gov(AA22-138B; phrase-indexed, page 403 to session)","Re-audited 2026-08-17: terminal T1041; CTID analyst node narrative ""script collects sensitive files ... stored in a tar ball"" -> ""sensitive data stored in tar ball is exfiltrated by GET request""; advisory: ""TA1 downloaded a malicious shell script, which they used to collect and exfiltrate sensitive data"" (verify on page)"
cisa_aa22_138b_vmware_workspace_ta2,CISA AA22-138B VMWare Workspace (TA2),incident,11,,,false,false,position_for_future,unknown,high,"ctid_blurb+ctid_flow_narrative+vendor:cisa.gov(AA22-138B; phrase-indexed, page 403 to session)","Re-audited 2026-08-17: terminal C2; CTID analyst node narrative = webshells (Godzilla, Dingo J-spy), /etc/passwd+shadow viewed, reverse SOCKS proxy, no exfil/impact action; advisory: ""TA2 interacted with the server (without automation or scripts) and installed multiple webshells and a reverse secure socket (SOCKS) proxy"" (verify on page) — no realised objective"
cisa_iranian_apt,CISA Iranian APT,incident,23,T1003;T1078,credential-access,false,false,impediment,unknown,high,ctid_blurb+in_flow_only,Iranian APT deployed XMRig cryptominer (CTID blurb explicit) — resource hijacking impact
cobalt_kitty_campaign,Cobalt Kitty Campaign,campaign,27,T1021;T1047;T1550,execution;lateral-movement,false,false,steal_data,G0050,high,ctid_blurb+vendor:cybereason.com,"Cybereason: 'goal of stealing proprietary business information' — corporate espionage, OceanLotus. No exfil terminal structurally — TRUNCATED"
conti_cisa_alert,Conti CISA Alert,malware,18,T1057;T1076;T1078;T1110;T1203;T1204;T1486;T1558;T1566;T1598;T1608,credential-access;discovery;execution;impact;initial-access;lateral-movement;reconnaissance;resource-development,false,true,double_extortion,G0102,high,ctid_blurb+attack_group:G0102,Conti = well-known double-extortion RaaS; flow reaches impact terminal; CISA URL 403 to WebFetch but Conti's double-extortion modus operandi is canonical
conti_pwc,Conti PWC,incident,7,T1083;T1204;T1486;T1566;T1586,discovery;execution;impact;initial-access;resource-development,false,true,double_extortion,G0102,high,ctid_blurb+attack_group:G0102,Conti PWC variant; same double-extortion characterisation as conti_cisa_alert
conti_ransomware,Conti Ransomware,malware,19,T1218;T1486;T1562,impact;stealth,false,true,double_extortion,G0102,high,ctid_blurb+attack_group:G0102,Conti DFIR variant; double-extortion ransomware
dfir_bumblebee_round_2,DFIR - BumbleBee Round 2,incident,19,T1055,,false,false,position_for_future,unknown,high,ctid_blurb+vendor:thedfirreport.com,DFIR Report: 'pre-ransomware activity'; 'evicted from the network before any further impact' — initial-access broker positioning
equifax_breach,Equifax Breach,incident,12,T1070;T1190;T1573;T1595,command-and-control;initial-access;reconnaissance;stealth,true,false,steal_data,unknown,high,ctid_blurb+vendor:csoonline.com,Canonical 2017 data breach — PII exfiltration
fin13_case_1,FIN13 Case 1,incident,40,T1033;T1046;T1070;T1105;T1110;T1111;T1222;T1555,command-and-control;credential-access;defense-impairment;discovery;stealth,false,false,steal_data,G1016,high,ctid_blurb+attack_group:G1016,"FIN13 'achieves its objectives by stealing intellectual property, financial data, mergers and acquisition information, or PII' (ATT&CK); reaches neither exfil nor impact structurally — TRUNCATED report"
fin13_case_2,FIN13 Case 2,incident,19,T1005;T1021;T1041;T1083,collection;discovery;exfiltration;lateral-movement,true,false,steal_data,G1016,high,ctid_blurb+attack_group:G1016,FIN13 Peru bank; reaches exfil structurally; financial data theft
gootloader,Gootloader,incident,36,T1087;T1189;T1204;T1482;T1584;T1615,discovery;execution;initial-access;resource-development,false,false,position_for_future,unknown,high,ctid_blurb+vendor:thedfirreport.com,Multi-stage loader; DFIR Report: 'no further impact before evicted' — loader-as-positioning
hancitor_dll,Hancitor DLL,incident,23,T1055;T1595,privilege-escalation;reconnaissance,false,false,position_for_future,unknown,high,ctid_blurb+vendor:thedfirreport.com,DFIR Report explicit: 'threat actors were evicted before completing their mission' — domain-admin + Cobalt Strike positioning
ivanti_vulnerabilities,Ivanti Vulnerabilities,incident,23,T1070;T1090;T1505;T1552;T1560;T1562;T1592;T1614,collection;command-and-control;credential-access;discovery;persistence;reconnaissance;stealth,false,false,steal_data,unknown,high,ctid_blurb+vendor:volexity.com,Volexity report explicit: UTA0178 (Chinese nation-state) — credential harvesting + sensitive-data exfil + persistent access. Espionage. Reaches no exfil/impact terminal structurally — TRUNCATED
jp_morgan_breach,JP Morgan Breach,incident,12,T1068;T1190;T1566;T1587,initial-access;privilege-escalation;resource-development,true,false,steal_data,unknown,high,ctid_blurb+in_flow_only,Canonical 2014 data breach — 75M customer accounts; reaches exfil structurally
maastricht_university_ransomware,Maastricht University Ransomware,incident,18,T1003;T1068;T1095;T1105;T1486;T1547;T1566;T1595,command-and-control;credential-access;impact;initial-access;privilege-escalation;reconnaissance,false,true,impediment,unknown,high,ctid_blurb+in_flow_only,2019 university ransomware; CTID blurb does not name double-extortion; reaches impact structurally only
mac_malware_steals_crypto,Mac Malware Steals Crypto,malware,9,T1211;T1518,discovery;stealth,false,false,double_extortion,unknown,high,ctid_blurb+ctid_flow_narrative+vendor:unit42+marc_ruling_2026-08-17,"Marc's ruling 2026-08-17: two monetisation channels in one flow (credential/cookie/wallet-key theft = exfiltration; XMRig/Koto mining = resource-hijacking impact, the corpus's precedent for cisa_iranian_apt) -> exfiltration+impact class. Was steal_data (low->medium in round 2). Unit 42 states both channels; analyst draws two exfiltration actions and the miner as T1105. Not extortion in the ransom sense — the class name follows the definition (both tactics in one flow)"
marriott_breach,Marriott Breach,incident,8,T1001;T1070;T1555;T1560;T1590,collection;command-and-control;credential-access;reconnaissance;stealth,false,false,steal_data,unknown,high,ctid_blurb+in_flow_only,Canonical 2018 data breach — guest PII / passport data; structural terminals at reconnaissance/stealth but breach narrative is steal_data
mitre_nerve,MITRE NERVE,incident,33,T1036;T1041;T1048;T1059;T1071;T1135;T1217;T1564;T1573,command-and-control;discovery;execution;exfiltration;stealth,true,false,steal_data,unknown,high,ctid_blurb+vendor:medium.com,"MITRE Engenuity: UNC5221 China-nexus espionage, document exfiltration"
muddy_water,Muddy Water,threat-actor,28,T1036;T1140;T1218;T1486;T1566,impact;initial-access;stealth,false,true,steal_data,G0069,high,ctid_blurb+ctid_flow_narrative+attack_group:G0069+vendor:talos,"Re-audited 2026-08-17: medium->high. Analyst nodes ""Collects intellectual property data"" -> ""Exfiltrate intellectual property"" (tactic-only, invisible to L1); T1486 at a10 carries confidence 0; G0069 = cyber-espionage; Talos: ""no encryption, wiping, or ransom demands"". Scope caveat (capability-aggregating actor flow) retained in the per-flow record"
notpetya,NotPetya,incident,23,T1003;T1016;T1057;T1134;T1218;T1485;T1518;T1561,credential-access;discovery;impact;privilege-escalation;stealth,false,true,impediment,G0034,high,ctid_blurb+attack_group:G0034,Sandworm destructive wiper masquerading as ransomware; G0034 = 'destructive threat group'
oceanlotus,OceanLotus,incident,23,,,true,false,steal_data,G0050,high,ctid_blurb+attack_group:G0050,APT32/OceanLotus — espionage / surveillance of governments + dissidents; reaches exfil structurally
ragnar_locker,Ragnar Locker,threat-actor,19,T1059;T1078;T1110;T1484;T1486;T1546,credential-access;execution;impact;initial-access;privilege-escalation,true,true,double_extortion,G0125,high,ctid_blurb+attack_group:G0125,Ragnar Locker — known double-extortion RaaS; flow reaches both exfil and impact
